Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2025-10-20,5:00 PM,7:00 PM,Minnesota Wild,3,New York Rangers,1,Regulation,Filip Gustavsson,Igor Shesterkin,5.5,-110,-110,140,-165,-1.5,-205,170
2025-10-20,5:00 PM,7:00 PM,Seattle Kraken,2,Philadelphia Flyers,5,Regulation,Joey Daccord,Dan Vladar,5.5,-115,-105,120,-140,-1.5,-220,180
2025-10-20,5:30 PM,7:30 PM,Buffalo Sabres,2,Montreal Canadiens,4,Regulation,Alex Lyon,Jakub Dobes,6,-120,100,125,-150,-1.5,-210,175
2025-10-20,7:30 PM,9:30 PM,Winnipeg Jets,2,Calgary Flames,1,Regulation,Connor Hellebuyck,Dustin Wolf,5.5,-120,100,-135,115,1.5,180,-220
2025-10-20,8:00 PM,10:00 PM,Carolina Hurricanes,1,Vegas Golden Knights,4,Regulation,Frederik Andersen,Adin Hill,6,-110,-110,-105,-115,-1.5,-260,210
2025-10-21,5:00 PM,7:00 PM,New Jersey Devils,5,Toronto Maple Leafs,2,Regulation,Jake Allen,Anthony Stolarz,5.5,-120,100,100,-120,-1.5,-250,205
2025-10-21,5:00 PM,7:00 PM,Edmonton Oilers,3,Ottawa Senators,2,OT,Stuart Skinner,Linus Ullmark,6,-105,-115,-130,110,1.5,180,-220
2025-10-21,5:00 PM,7:00 PM,San Jose Sharks,3,New York Islanders,4,Regulation,Yaroslav Askarov,Ilya Sorokin,6.5,-110,-110,180,-220,-1.5,-130,110
2025-10-21,5:00 PM,7:00 PM,Vancouver Canucks,1,Pittsburgh Penguins,5,Regulation,Kevin Lankinen,Arturs Silovs,6.5,105,-125,-110,-110,-1.5,-270,220
2025-10-21,5:00 PM,7:00 PM,Seattle Kraken,1,Washington Capitals,4,Regulation,Matt Murray,Logan Thompson,6,-105,-115,225,-275,-1.5,-110,-110
2025-10-21,5:30 PM,7:30 PM,Florida Panthers,4,Boston Bruins,3,Regulation,Sergei Bobrovsky,Jeremy Swayman,5.5,-110,-110,-155,130,1.5,165,-200
2025-10-21,6:00 PM,8:00 PM,Los Angeles Kings,2,St. Louis Blues,1,OT,Darcy Kuemper,Jordan Binnington,5.5,-120,100,105,-125,-1.5,-240,195
2025-10-21,6:00 PM,8:00 PM,Anaheim Ducks,5,Nashville Predators,2,Regulation,Lukas Dostal,Juuse Saros,6,-115,-105,120,-140,-1.5,-210,175
2025-10-21,6:00 PM,8:00 PM,Columbus Blue Jackets,5,Dallas Stars,1,Regulation,Elvis Merzlikins,Jake Oettinger,6.5,-105,-115,165,-200,-1.5,-160,135
2025-10-21,8:00 PM,10:00 PM,Colorado Avalanche,3,Utah Mammoth,4,OT,Scott Wedgewood,Karel Vejmelka,6,100,-120,-155,130,1.5,170,-205
2025-10-22,5:00 PM,7:00 PM,Minnesota Wild,1,New Jersey Devils,4,Regulation,Filip Gustavsson,Nico Daws,5.5,-130,110,105,-125,-1.5,-250,205
2025-10-22,5:30 PM,7:30 PM,Detroit Red Wings,2,Buffalo Sabres,4,Regulation,John Gibson,Colten Ellis,6,-115,-105,105,-125,-1.5,-245,200
2025-10-22,6:30 PM,8:30 PM,Montreal Canadiens,2,Calgary Flames,1,OT,Jakub Dobes,Dustin Wolf,6,100,-120,-115,-105,1.5,210,-260
2025-10-23,4:45 PM,6:45 PM,Chicago Blackhawks,3,Tampa Bay Lightning,2,Regulation,Spencer Knight,Andrei Vasilevskiy,6,-115,-105,260,-320,-1.5,105,-125
2025-10-23,5:00 PM,7:00 PM,Anaheim Ducks,7,Boston Bruins,5,Regulation,Petr Mrazek,Joonas Korpisalo,6.5,-105,-115,-105,-115,-1.5,-260,210
2025-10-23,5:00 PM,7:00 PM,Philadelphia Flyers,1,Ottawa Senators,2,Regulation,Dan Vladar,Linus Ullmark,5.5,-125,105,135,-160,-1.5,-190,160
2025-10-23,5:00 PM,7:00 PM,Pittsburgh Penguins,5,Florida Panthers,3,Regulation,Tristan Jarry,Sergei Bobrovsky,6,100,-120,165,-200,-1.5,-160,135
2025-10-23,5:00 PM,7:00 PM,Detroit Red Wings,2,New York Islanders,7,Regulation,Cam Talbot,David Rittich,6,-110,-110,110,-130,-1.5,-220,180
2025-10-23,5:00 PM,7:00 PM,San Jose Sharks,6,New York Rangers,5,OT,Alex Nedeljkovic,Igor Shesterkin,6,-120,100,230,-280,-1.5,-105,-115
2025-10-23,6:00 PM,8:00 PM,Utah Mammoth,7,St. Louis Blues,4,Regulation,Karel Vejmelka,Joel Hofer,5.5,-120,100,100,-120,-1.5,-260,210
2025-10-23,6:00 PM,8:00 PM,Vancouver Canucks,1,Nashville Predators,2,Regulation,Thatcher Demko,Juuse Saros,6,100,-120,100,-120,-1.5,-250,205
2025-10-23,6:00 PM,8:00 PM,Seattle Kraken,3,Winnipeg Jets,0,Regulation,Joey Daccord,Connor Hellebuyck,5.5,-105,-115,180,-220,-1.5,-135,115
2025-10-23,7:00 PM,9:00 PM,Los Angeles Kings,3,Dallas Stars,2,OT,Darcy Kuemper,Jake Oettinger,5.5,-120,100,115,-135,-1.5,-220,180
2025-10-23,7:00 PM,9:00 PM,Carolina Hurricanes,5,Colorado Avalanche,4,SO,Frederik Andersen,Scott Wedgewood,6,-110,-110,115,-135,-1.5,-225,185
2025-10-23,7:00 PM,9:00 PM,Montreal Canadiens,5,Edmonton Oilers,6,Regulation,Samuel Montembeault,Calvin Pickard,6,-110,-110,190,-230,-1.5,-130,110
2025-10-24,5:00 PM,7:00 PM,Toronto Maple Leafs,3,Buffalo Sabres,5,Regulation,Anthony Stolarz,Alex Lyon,6,-120,100,-125,105,1.5,200,-245
2025-10-24,5:00 PM,7:00 PM,San Jose Sharks,1,New Jersey Devils,3,Regulation,Yaroslav Askarov,Jake Allen,6.5,100,-120,290,-370,-1.5,120,-140
2025-10-24,5:00 PM,7:00 PM,Washington Capitals,5,Columbus Blue Jackets,1,Regulation,Logan Thompson,Jet Greaves,6.5,105,-125,-115,-105,1.5,210,-260
2025-10-24,6:00 PM,8:00 PM,Calgary Flames,3,Winnipeg Jets,5,Regulation,Dustin Wolf,Eric Comrie,5.5,-120,100,115,-135,-1.5,-220,180
2025-10-25,10:30 AM,12:30 PM,New York Islanders,3,Philadelphia Flyers,4,SO,Ilya Sorokin,Samuel Ersson,6,-120,100,-105,-115,-1.5,-245,200
2025-10-25,1:00 PM,3:00 PM,Colorado Avalanche,2,Boston Bruins,3,Regulation,Scott Wedgewood,Jeremy Swayman,6,-110,-110,-205,170,1.5,130,-155
2025-10-25,3:00 PM,5:00 PM,Anaheim Ducks,3,Tampa Bay Lightning,4,Regulation,Lukas Dostal,Jonas Johansson,6.5,-120,100,160,-190,-1.5,-160,135
2025-10-25,3:00 PM,5:00 PM,Buffalo Sabres,3,Toronto Maple Leafs,4,OT,Ukko-Pekka Luukkonen,Cayden Primeau,6.5,-115,-105,125,-150,-1.5,-200,165
2025-10-25,4:00 PM,6:00 PM,Vegas Golden Knights,0,Florida Panthers,3,Regulation,Akira Schmid,Sergei Bobrovsky,6,105,-125,-115,-105,1.5,220,-270
2025-10-25,4:00 PM,6:00 PM,Utah Mammoth,6,Minnesota Wild,2,Regulation,Karel Vejmelka,Filip Gustavsson,6,100,-120,-105,-115,-1.5,-270,220
2025-10-25,5:00 PM,7:00 PM,St. Louis Blues,4,Detroit Red Wings,6,Regulation,Jordan Binnington,John Gibson,5.5,-120,100,-110,-110,-1.5,-270,220
2025-10-25,5:00 PM,7:00 PM,Columbus Blue Jackets,5,Pittsburgh Penguins,4,SO,Elvis Merzlikins,Arturs Silovs,6.5,-110,-110,100,-120,-1.5,-245,200
2025-10-25,5:00 PM,7:00 PM,Ottawa Senators,7,Washington Capitals,1,Regulation,Linus Ullmark,Charlie Lindgren,5.5,-120,100,105,-125,-1.5,-240,195
2025-10-25,5:00 PM,7:00 PM,Montreal Canadiens,4,Vancouver Canucks,3,Regulation,Jakub Dobes,Kevin Lankinen,6,-105,-115,-110,-110,-1.5,-270,220
2025-10-25,6:00 PM,8:00 PM,Los Angeles Kings,4,Nashville Predators,5,SO,Darcy Kuemper,Juuse Saros,5.5,-110,-110,-155,130,1.5,185,-225
2025-10-25,6:00 PM,8:00 PM,Carolina Hurricanes,2,Dallas Stars,3,Regulation,Brandon Bussi,Jake Oettinger,6,-110,-110,105,-125,-1.5,-260,210
2025-10-25,8:00 PM,10:00 PM,Edmonton Oilers,2,Seattle Kraken,3,Regulation,Stuart Skinner,Joey Daccord,6,105,-125,-180,150,1.5,140,-165
2025-10-26,11:00 AM,1:00 PM,Colorado Avalanche,3,New Jersey Devils,4,OT,Trent Miner,Jake Allen,6,-115,-105,110,-130,-1.5,-240,195
2025-10-26,3:00 PM,5:00 PM,Vegas Golden Knights,1,Tampa Bay Lightning,2,OT,Carl Lindbom,Andrei Vasilevskiy,6,-120,100,115,-135,-1.5,-210,175
2025-10-26,4:00 PM,6:00 PM,San Jose Sharks,6,Minnesota Wild,5,OT,Yaroslav Askarov,Jesper Wallstedt,6.5,-105,-115,160,-190,-1.5,-150,125
2025-10-26,4:00 PM,6:00 PM,Utah Mammoth,3,Winnipeg Jets,2,Regulation,Vitek Vanecek,Connor Hellebuyck,5.5,-120,100,130,-155,-1.5,-190,160
2025-10-26,5:00 PM,7:00 PM,Los Angeles Kings,3,Chicago Blackhawks,1,Regulation,Anton Forsberg,Arvid Soderblom,6,-115,-105,-160,135,1.5,155,-185
2025-10-26,5:00 PM,7:00 PM,Dallas Stars,3,Nashville Predators,2,Regulation,Casey DeSmith,Justus Annunen,6,-110,-110,-155,130,1.5,165,-200
